,현인원,구인인원,채용인원,미충원인원,부족인원,채용계획인원,규모,산업
198,5286,349,349,0,102,100,3규모(30~99인),M73 기타 전문 과학 및 기술 서비스업
199,45892,3377,3326,51,334,403,3규모(30~99인),N74 사업시설 관리 및 조경 서비스업
200,111363,10425,9462,963,1760,1984,3규모(30~99인),N75 사업 지원 서비스업
201,3541,141,122,19,142,142,3규모(30~99인),N76 임대업; 부동산 제외
202,164641,16590,16260,330,1043,1136,3규모(30~99인),P85 교육 서비스업
203,160943,15132,13659,1473,3716,4121,3규모(30~99인),Q86 보건업
204,159320,22049,20034,2015,4505,5550,3규모(30~99인),Q87 사회복지 서비스업
205,10175,1003,958,45,207,248,3규모(30~99인),R90 창작 예술 및 여가관련 서비스업
206,41596,1899,1719,180,569,584,3규모(30~99인),R91 스포츠 및 오락관련 서비스업
207,16329,715,631,84,798,393,3규모(30~99인),S94 협회 및 단체
208,22681,392,357,35,72,74,3규모(30~99인),S95 개인 및 소비용품 수리업
209,15781,2464,2464,0,96,149,3규모(30~99인),S96 기타 개인 서비스업
210,527,0,0,0,0,0,4규모(100~299인),B05 석탄 원유 및 천연가스 광업
211,0,0,0,0,0,0,4규모(100~299인),B06 금속 광업
212,0,0,0,0,0,0,4규모(100~299인),B07 비금속광물 광업; 연료용 제외
213,0,0,0,0,0,0,4규모(100~299인),B08 광업 지원 서비스업
214,45550,2068,2008,60,520,574,4규모(100~299인),C10 식료품 제조업
215,2811,55,25,30,0,0,4규모(100~299인),C11 음료 제조업
216,188,0,0,0,0,0,4규모(100~299인),C12 담배 제조업
217,5562,247,245,2,19,24,4규모(100~299인),C13 섬유제품 제조업; 의복 제외
218,7738,143,143,0,32,32,4규모(100~299인),C14 의복 의복 액세서리 및 모피제품 제조업
219,629,30,30,0,0,0,4규모(100~299인),C15 가죽 가방 및 신발 제조업
220,1627,99,97,2,5,5,4규모(100~299인),C16 목재 및 나무제품 제조업; 가구 제외
221,9675,575,574,1,105,108,4규모(100~299인),C17 펄프 종이 및 종이제품 제조업
222,3381,119,101,18,19,19,4규모(100~299인),C18 인쇄 및 기록매체 복제업
223,350,3,3,0,0,0,4규모(100~299인),C19 코크스 연탄 및 석유정제품 제조업
224,30832,953,855,98,312,312,4규모(100~299인),C20 화학 물질 및 화학제품 제조업; 의약품 제외
225,17002,969,941,28,369,371,4규모(100~299인),C21 의료용 물질 및 의약품 제조업
226,40910,1313,1298,15,99,121,4규모(100~299인),C22 고무 및 플라스틱제품 제조업
227,11990,187,154,33,74,74,4규모(100~299인),C23 비금속 광물제품 제조업
228,22817,495,476,19,100,112,4규모(100~299인),C24 1차 금속 제조업
229,31461,1081,1056,25,216,225,4규모(100~299인),C25 금속 가공제품 제조업; 기계 및 가구 제외
230,46010,3700,3437,263,676,752,4규모(100~299인),C26 전자 부품 컴퓨터 영상 음향 및 통신장비 제조업
231,19199,1015,919,96,288,288,4규모(100~299인),C27 의료 정밀 광학 기기 및 시계 제조업
232,37805,1210,1168,42,479,491,4규모(100~299인),C28 전기장비 제조업
233,60139,1806,1731,75,536,536,4규모(100~299인),C29 기타 기계 및 장비 제조업
234,70853,1900,1649,251,440,426,4규모(100~299인),C30 자동차 및 트레일러 제조업
235,22737,1341,1279,62,232,250,4규모(100~299인),C31 기타 운송장비 제조업
236,1314,156,156,0,0,0,4규모(100~299인),C32 가구 제조업
237,1923,102,83,19,71,71,4규모(100~299인),C33 기타 제품 제조업
238,7731,200,177,23,66,66,4규모(100~299인),C34 산업용 기계 및 장비 수리업
239,14275,127,111,16,31,52,4규모(100~299인),D35 전기 가스 증기 및 공기 조절 공급업
240,1131,17,3,14,14,35,4규모(100~299인),E36 수도업
241,1534,90,90,0,69,69,4규모(100~299인),E37 하수 폐수 및 분뇨 처리업
242,3519,70,61,9,32,32,4규모(100~299인),E38 폐기물 수집 운반 처리 및 원료 재생업
243,0,0,0,0,0,0,4규모(100~299인),E39 환경 정화 및 복원업
244,28218,917,794,123,434,436,4규모(100~299인),F41 종합 건설업
245,50614,1221,1195,26,90,90,4규모(100~299인),F42 전문직별 공사업
246,2879,0,0,0,0,0,4규모(100~299인),G45 자동차 및 부품 판매업
247,68346,2599,2435,164,1186,1213,4규모(100~299인),G46 도매 및 상품 중개업
248,67775,2138,2100,38,181,283,4규모(100~299인),G47 소매업; 자동차 제외
249,129013,12618,6532,6086,10988,10676,4규모(100~299인),H49 육상 운송 및 파이프라인 운송업
250,3709,84,84,0,0,0,4규모(100~299인),H50 수상 운송업
251,1543,58,58,0,0,0,4규모(100~299인),H51 항공 운송업
252,39727,1642,1582,60,227,1293,4규모(100~299인),H52 창고 및 운송관련 서비스업
253,15890,659,640,19,272,222,4규모(100~299인),I55 숙박업
254,4802,113,100,13,140,140,4규모(100~299인),I56 음식점 및 주점업
255,49822,2648,2394,254,1632,1839,4규모(100~299인),J58 출판업
256,4393,124,124,0,78,78,4규모(100~299인),J59 영상ㆍ오디오 기록물 제작 및 배급업
257,6854,33,33,0,112,112,4규모(100~299인),J60 방송업
258,8561,127,76,51,51,51,4규모(100~299인),J61 우편 및 통신업
259,17398,867,853,14,111,225,4규모(100~299인),J62 컴퓨터 프로그래밍 시스템 통합 및 관리업
260,7880,432,404,28,172,172,4규모(100~299인),J63 정보서비스업
261,15240,1674,1654,20,0,35,4규모(100~299인),K64 금융업
262,10555,528,528,0,113,113,4규모(100~299인),K65 보험 및 연금업
263,10038,612,599,13,315,315,4규모(100~299인),K66 금융 및 보험관련 서비스업
264,20739,1892,1824,68,87,293,4규모(100~299인),L68 부동산업
265,32524,1873,1598,275,927,1081,4규모(100~299인),M70 연구개발업
266,51851,4053,3887,166,588,660,4규모(100~299인),M71 전문 서비스업
267,40672,2552,2437,115,369,379,4규모(100~299인),M72 건축 기술 엔지니어링 및 기타 과학기술 서비스업
268,2011,123,31,92,77,77,4규모(100~299인),M73 기타 전문 과학 및 기술 서비스업
269,56171,5930,5827,103,558,1331,4규모(100~299인),N74 사업시설 관리 및 조경 서비스업
270,152599,17259,16627,632,2389,3155,4규모(100~299인),N75 사업 지원 서비스업
271,1374,354,328,26,44,44,4규모(100~299인),N76 임대업; 부동산 제외
272,79955,9471,9296,175,603,2090,4규모(100~299인),P85 교육 서비스업
273,150254,14431,13336,1095,2956,3040,4규모(100~299인),Q86 보건업
274,35658,3042,2994,48,314,350,4규모(100~299인),Q87 사회복지 서비스업
275,4581,349,349,0,45,33,4규모(100~299인),R90 창작 예술 및 여가관련 서비스업
276,15286,694,624,70,289,283,4규모(100~299인),R91 스포츠 및 오락관련 서비스업
277,10116,69,69,0,181,227,4규모(100~299인),S94 협회 및 단체
278,3607,206,186,20,0,10,4규모(100~299인),S95 개인 및 소비용품 수리업
279,953,117,117,0,0,0,4규모(100~299인),S96 기타 개인 서비스업
280,1370,1,1,0,0,0,5규모(300인이상),B05 석탄 원유 및 천연가스 광업
281,0,0,0,0,0,0,5규모(300인이상),B06 금속 광업
282,0,0,0,0,0,0,5규모(300인이상),B07 비금속광물 광업; 연료용 제외
283,484,0,0,0,0,0,5규모(300인이상),B08 광업 지원 서비스업
284,25190,1438,1413,25,512,513,5규모(300인이상),C10 식료품 제조업
285,3487,144,144,0,5,5,5규모(300인이상),C11 음료 제조업
286,2070,7,7,0,0,0,5규모(300인이상),C12 담배 제조업
287,1517,0,0,0,0,0,5규모(300인이상),C13 섬유제품 제조업; 의복 제외
288,6916,133,133,0,125,125,5규모(300인이상),C14 의복 의복 액세서리 및 모피제품 제조업
289,306,30,30,0,0,0,5규모(300인이상),C15 가죽 가방 및 신발 제조업
290,497,4,4,0,6,6,5규모(300인이상),C16 목재 및 나무제품 제조업; 가구 제외
291,3168,15,15,0,4,6,5규모(300인이상),C17 펄프 종이 및 종이제품 제조업
292,0,0,0,0,0,0,5규모(300인이상),C18 인쇄 및 기록매체 복제업
293,8402,161,161,0,0,0,5규모(300인이상),C19 코크스 연탄 및 석유정제품 제조업
294,34197,377,377,0,150,185,5규모(300인이상),C20 화학 물질 및 화학제품 제조업; 의약품 제외
295,12618,607,550,57,302,527,5규모(300인이상),C21 의료용 물질 및 의약품 제조업
296,32184,301,301,0,34,34,5규모(300인이상),C22 고무 및 플라스틱제품 제조업
297,10874,132,114,18,9,9,5규모(300인이상),C23 비금속 광물제품 제조업
298,43373,297,279,18,66,68,5규모(300인이상),C24 1차 금속 제조업
299,22697,283,271,12,133,137,5규모(300인이상),C25 금속 가공제품 제조업; 기계 및 가구 제외
300,250453,3801,3732,69,870,826,5규모(300인이상),C26 전자 부품 컴퓨터 영상 음향 및 통신장비 제조업
301,17241,257,257,0,44,44,5규모(300인이상),C27 의료 정밀 광학 기기 및 시계 제조업
302,52766,1590,1563,27,212,233,5규모(300인이상),C28 전기장비 제조업
303,41298,814,743,71,279,291,5규모(300인이상),C29 기타 기계 및 장비 제조업
304,132117,979,972,7,86,213,5규모(300인이상),C30 자동차 및 트레일러 제조업
305,58141,467,464,3,114,117,5규모(300인이상),C31 기타 운송장비 제조업
306,0,0,0,0,0,0,5규모(300인이상),C32 가구 제조업
307,622,29,29,0,35,0,5규모(300인이상),C33 기타 제품 제조업
308,4159,115,115,0,84,84,5규모(300인이상),C34 산업용 기계 및 장비 수리업
309,25529,35,35,0,6,93,5규모(300인이상),D35 전기 가스 증기 및 공기 조절 공급업
310,2878,29,29,0,147,147,5규모(300인이상),E36 수도업
311,0,0,0,0,0,0,5규모(300인이상),E37 하수 폐수 및 분뇨 처리업
312,749,0,0,0,9,9,5규모(300인이상),E38 폐기물 수집 운반 처리 및 원료 재생업
313,0,0,0,0,0,0,5규모(300인이상),E39 환경 정화 및 복원업
314,67288,1850,1828,22,412,412,5규모(300인이상),F41 종합 건설업
315,6620,98,96,2,39,139,5규모(300인이상),F42 전문직별 공사업
316,1372,0,0,0,0,0,5규모(300인이상),G45 자동차 및 부품 판매업
317,59376,1852,1737,115,586,590,5규모(300인이상),G46 도매 및 상품 중개업
318,27878,1523,1447,76,1544,1596,5규모(300인이상),G47 소매업; 자동차 제외
319,40052,2410,2098,312,830,745,5규모(300인이상),H49 육상 운송 및 파이프라인 운송업
320,2099,126,124,2,99,99,5규모(300인이상),H50 수상 운송업
321,27830,281,281,0,0,0,5규모(300인이상),H51 항공 운송업
322,35904,2217,1887,330,821,937,5규모(300인이상),H52 창고 및 운송관련 서비스업
323,17070,599,590,9,136,113,5규모(300인이상),I55 숙박업
324,2603,181,176,5,21,21,5규모(300인이상),I56 음식점 및 주점업
325,53017,2846,2544,302,1777,1877,5규모(300인이상),J58 출판업
326,1130,15,15,0,0,0,5규모(300인이상),J59 영상ㆍ오디오 기록물 제작 및 배급업
327,14595,305,282,23,46,46,5규모(300인이상),J60 방송업
328,10413,321,311,10,68,68,5규모(300인이상),J61 우편 및 통신업
329,40406,1484,1407,77,348,472,5규모(300인이상),J62 컴퓨터 프로그래밍 시스템 통합 및 관리업
330,16657,895,867,28,753,818,5규모(300인이상),J63 정보서비스업
331,46058,1130,1118,12,395,399,5규모(300인이상),K64 금융업
332,29442,454,453,1,181,338,5규모(300인이상),K65 보험 및 연금업
333,32927,1168,1083,85,275,580,5규모(300인이상),K66 금융 및 보험관련 서비스업
334,29151,4208,4200,8,134,134,5규모(300인이상),L68 부동산업
