,현인원,구인인원,채용인원,미충원인원,부족인원,채용계획인원,규모,산업
35,240064,23114,21919,1195,4464,4997,1규모(5~9인),F42 전문직별 공사업
36,15901,461,422,39,518,388,1규모(5~9인),G45 자동차 및 부품 판매업
37,208981,6685,5870,815,5995,5151,1규모(5~9인),G46 도매 및 상품 중개업
38,135303,5404,4918,486,3439,3187,1규모(5~9인),G47 소매업; 자동차 제외
39,47931,692,633,59,84,158,1규모(5~9인),H49 육상 운송 및 파이프라인 운송업
40,1305,16,16,0,3,0,1규모(5~9인),H50 수상 운송업
41,188,0,0,0,0,0,1규모(5~9인),H51 항공 운송업
42,36594,852,590,262,1147,953,1규모(5~9인),H52 창고 및 운송관련 서비스업
43,11023,514,489,25,84,45,1규모(5~9인),I55 숙박업
44,181253,12243,11518,725,5542,5749,1규모(5~9인),I56 음식점 및 주점업
45,25586,1110,829,281,1514,1373,1규모(5~9인),J58 출판업
46,10470,518,502,16,111,97,1규모(5~9인),J59 영상ㆍ오디오 기록물 제작 및 배급업
47,493,0,0,0,0,0,1규모(5~9인),J60 방송업
48,2096,10,10,0,59,0,1규모(5~9인),J61 우편 및 통신업
49,8687,460,297,163,839,807,1규모(5~9인),J62 컴퓨터 프로그래밍 시스템 통합 및 관리업
50,2918,71,0,71,207,207,1규모(5~9인),J63 정보서비스업
51,55500,434,423,11,347,296,1규모(5~9인),K64 금융업
52,16043,255,255,0,17,17,1규모(5~9인),K65 보험 및 연금업
53,21326,227,182,45,258,258,1규모(5~9인),K66 금융 및 보험관련 서비스업
54,96147,3927,3921,6,601,358,1규모(5~9인),L68 부동산업
55,8785,234,178,56,144,144,1규모(5~9인),M70 연구개발업
56,69274,2366,2103,263,1827,1784,1규모(5~9인),M71 전문 서비스업
57,34300,1842,1669,173,643,621,1규모(5~9인),M72 건축 기술 엔지니어링 및 기타 과학기술 서비스업
58,10794,751,737,14,296,296,1규모(5~9인),M73 기타 전문 과학 및 기술 서비스업
59,17288,374,331,43,828,823,1규모(5~9인),N74 사업시설 관리 및 조경 서비스업
60,57111,6313,5710,603,1687,2491,1규모(5~9인),N75 사업 지원 서비스업
61,13388,359,101,258,580,522,1규모(5~9인),N76 임대업; 부동산 제외
62,119245,4927,4443,484,2323,2312,1규모(5~9인),P85 교육 서비스업
63,83465,3666,3374,292,1745,1582,1규모(5~9인),Q86 보건업
64,186414,10882,10352,530,3151,3425,1규모(5~9인),Q87 사회복지 서비스업
65,6910,828,721,107,293,316,1규모(5~9인),R90 창작 예술 및 여가관련 서비스업
66,18710,1166,1141,25,361,361,1규모(5~9인),R91 스포츠 및 오락관련 서비스업
67,32199,327,273,54,393,390,1규모(5~9인),S94 협회 및 단체
68,26358,1366,1165,201,750,774,1규모(5~9인),S95 개인 및 소비용품 수리업
69,26918,1034,871,163,1089,1021,1규모(5~9인),S96 기타 개인 서비스업
70,54,2,2,0,0,0,2규모(10~29인),B05 석탄 원유 및 천연가스 광업
71,0,0,0,0,0,0,2규모(10~29인),B06 금속 광업
72,4287,135,128,7,54,59,2규모(10~29인),B07 비금속광물 광업; 연료용 제외
73,65,0,0,0,0,0,2규모(10~29인),B08 광업 지원 서비스업
74,56839,3566,3006,560,1780,1850,2규모(10~29인),C10 식료품 제조업
75,406,4,4,0,12,12,2규모(10~29인),C11 음료 제조업
76,0,0,0,0,0,0,2규모(10~29인),C12 담배 제조업
77,30854,743,729,14,589,620,2규모(10~29인),C13 섬유제품 제조업; 의복 제외
78,13721,882,830,52,460,460,2규모(10~29인),C14 의복 의복 액세서리 및 모피제품 제조업
79,4491,1,1,0,0,0,2규모(10~29인),C15 가죽 가방 및 신발 제조업
80,9515,419,384,35,342,372,2규모(10~29인),C16 목재 및 나무제품 제조업; 가구 제외
81,20542,854,616,238,697,617,2규모(10~29인),C17 펄프 종이 및 종이제품 제조업
82,13670,110,102,8,590,590,2규모(10~29인),C18 인쇄 및 기록매체 복제업
83,935,47,37,10,15,24,2규모(10~29인),C19 코크스 연탄 및 석유정제품 제조업
84,30096,1153,899,254,1059,1318,2규모(10~29인),C20 화학 물질 및 화학제품 제조업; 의약품 제외
85,3154,8,8,0,47,47,2규모(10~29인),C21 의료용 물질 및 의약품 제조업
86,68211,2719,1772,947,2401,2419,2규모(10~29인),C22 고무 및 플라스틱제품 제조업
87,38967,1411,1237,174,1056,1071,2규모(10~29인),C23 비금속 광물제품 제조업
88,31410,1395,970,425,1923,2012,2규모(10~29인),C24 1차 금속 제조업
89,103539,4297,3622,675,2584,2342,2규모(10~29인),C25 금속 가공제품 제조업; 기계 및 가구 제외
90,33078,1706,1320,386,1139,1197,2규모(10~29인),C26 전자 부품 컴퓨터 영상 음향 및 통신장비 제조업
91,23597,1050,651,399,684,678,2규모(10~29인),C27 의료 정밀 광학 기기 및 시계 제조업
92,48065,2151,1859,292,1218,1355,2규모(10~29인),C28 전기장비 제조업
93,108323,4133,3309,824,3577,3602,2규모(10~29인),C29 기타 기계 및 장비 제조업
94,41485,2193,1349,844,1548,1646,2규모(10~29인),C30 자동차 및 트레일러 제조업
95,10619,452,383,69,162,181,2규모(10~29인),C31 기타 운송장비 제조업
96,16799,1302,1179,123,745,698,2규모(10~29인),C32 가구 제조업
97,10154,110,110,0,439,439,2규모(10~29인),C33 기타 제품 제조업
98,3426,90,43,47,42,23,2규모(10~29인),C34 산업용 기계 및 장비 수리업
99,3458,96,92,4,27,30,2규모(10~29인),D35 전기 가스 증기 및 공기 조절 공급업
100,1251,16,15,1,8,15,2규모(10~29인),E36 수도업
101,5700,160,153,7,51,1040,2규모(10~29인),E37 하수 폐수 및 분뇨 처리업
102,21823,576,511,65,436,403,2규모(10~29인),E38 폐기물 수집 운반 처리 및 원료 재생업
103,120,0,0,0,0,0,2규모(10~29인),E39 환경 정화 및 복원업
104,125983,6038,5867,171,836,955,2규모(10~29인),F41 종합 건설업
105,240458,28239,27218,1021,3649,3985,2규모(10~29인),F42 전문직별 공사업
106,27426,436,393,43,256,256,2규모(10~29인),G45 자동차 및 부품 판매업
107,225673,8993,7074,1919,4820,4661,2규모(10~29인),G46 도매 및 상품 중개업
108,120874,5880,5653,227,2439,2509,2규모(10~29인),G47 소매업; 자동차 제외
109,51135,1394,997,397,1074,1080,2규모(10~29인),H49 육상 운송 및 파이프라인 운송업
110,5535,419,419,0,35,35,2규모(10~29인),H50 수상 운송업
111,246,0,0,0,0,0,2규모(10~29인),H51 항공 운송업
112,53367,1310,1217,93,1339,1202,2규모(10~29인),H52 창고 및 운송관련 서비스업
113,10031,354,354,0,244,287,2규모(10~29인),I55 숙박업
114,110529,7230,6920,310,2695,3043,2규모(10~29인),I56 음식점 및 주점업
115,50962,3284,2831,453,2434,2201,2규모(10~29인),J58 출판업
116,10631,467,341,126,321,329,2규모(10~29인),J59 영상ㆍ오디오 기록물 제작 및 배급업
117,2418,195,195,0,2,25,2규모(10~29인),J60 방송업
118,8362,29,29,0,28,23,2규모(10~29인),J61 우편 및 통신업
119,19056,1052,747,305,563,582,2규모(10~29인),J62 컴퓨터 프로그래밍 시스템 통합 및 관리업
120,5689,352,279,73,103,103,2규모(10~29인),J63 정보서비스업
121,108140,1323,1150,173,303,290,2규모(10~29인),K64 금융업
122,20887,489,430,59,134,171,2규모(10~29인),K65 보험 및 연금업
123,31162,388,384,4,552,556,2규모(10~29인),K66 금융 및 보험관련 서비스업
124,93310,4164,4131,33,336,385,2규모(10~29인),L68 부동산업
125,19531,1492,1019,473,1101,1047,2규모(10~29인),M70 연구개발업
126,67688,2825,2590,235,960,909,2규모(10~29인),M71 전문 서비스업
127,64311,3338,2707,631,1378,1433,2규모(10~29인),M72 건축 기술 엔지니어링 및 기타 과학기술 서비스업
128,12323,863,739,124,556,515,2규모(10~29인),M73 기타 전문 과학 및 기술 서비스업
129,31230,1200,1138,62,171,220,2규모(10~29인),N74 사업시설 관리 및 조경 서비스업
130,77093,4098,3576,522,991,845,2규모(10~29인),N75 사업 지원 서비스업
131,6522,268,217,51,99,99,2규모(10~29인),N76 임대업; 부동산 제외
132,135847,2947,2786,161,1367,1512,2규모(10~29인),P85 교육 서비스업
133,87224,5650,4811,839,1743,1753,2규모(10~29인),Q86 보건업
134,301428,15978,15384,594,3916,5701,2규모(10~29인),Q87 사회복지 서비스업
135,10188,449,399,50,543,440,2규모(10~29인),R90 창작 예술 및 여가관련 서비스업
136,35308,954,890,64,810,910,2규모(10~29인),R91 스포츠 및 오락관련 서비스업
137,26487,435,408,27,304,408,2규모(10~29인),S94 협회 및 단체
138,38690,1316,1187,129,665,701,2규모(10~29인),S95 개인 및 소비용품 수리업
139,40565,1486,1406,80,442,467,2규모(10~29인),S96 기타 개인 서비스업
140,204,0,0,0,0,0,3규모(30~99인),B05 석탄 원유 및 천연가스 광업
141,246,1,1,0,0,0,3규모(30~99인),B06 금속 광업
142,3034,90,74,16,28,30,3규모(30~99인),B07 비금속광물 광업; 연료용 제외
143,0,0,0,0,0,0,3규모(30~99인),B08 광업 지원 서비스업
144,66053,4789,3135,1654,2745,2806,3규모(30~99인),C10 식료품 제조업
145,3147,168,168,0,27,67,3규모(30~99인),C11 음료 제조업
146,0,0,0,0,0,0,3규모(30~99인),C12 담배 제조업
147,30195,721,638,83,233,259,3규모(30~99인),C13 섬유제품 제조업; 의복 제외
148,12601,177,124,53,51,51,3규모(30~99인),C14 의복 의복 액세서리 및 모피제품 제조업
149,5638,240,240,0,39,110,3규모(30~99인),C15 가죽 가방 및 신발 제조업
150,2716,98,98,0,53,53,3규모(30~99인),C16 목재 및 나무제품 제조업; 가구 제외
151,20568,1024,779,245,679,746,3규모(30~99인),C17 펄프 종이 및 종이제품 제조업
152,7542,152,102,50,58,58,3규모(30~99인),C18 인쇄 및 기록매체 복제업
153,717,9,9,0,0,0,3규모(30~99인),C19 코크스 연탄 및 석유정제품 제조업
154,40146,1540,1213,327,596,655,3규모(30~99인),C20 화학 물질 및 화학제품 제조업; 의약품 제외
155,9503,438,403,35,360,360,3규모(30~99인),C21 의료용 물질 및 의약품 제조업
156,75660,3668,3339,329,1639,1772,3규모(30~99인),C22 고무 및 플라스틱제품 제조업
157,22319,759,515,244,669,669,3규모(30~99인),C23 비금속 광물제품 제조업
158,39219,1427,951,476,939,1026,3규모(30~99인),C24 1차 금속 제조업
159,76924,2385,1755,630,1371,1393,3규모(30~99인),C25 금속 가공제품 제조업; 기계 및 가구 제외
160,49527,2566,2470,96,916,1099,3규모(30~99인),C26 전자 부품 컴퓨터 영상 음향 및 통신장비 제조업
161,32121,877,781,96,896,937,3규모(30~99인),C27 의료 정밀 광학 기기 및 시계 제조업
162,55488,3310,3175,135,1089,999,3규모(30~99인),C28 전기장비 제조업
163,119132,4263,3647,616,2325,2413,3규모(30~99인),C29 기타 기계 및 장비 제조업
164,84060,3411,2994,417,1269,1250,3규모(30~99인),C30 자동차 및 트레일러 제조업
165,27893,1296,1239,57,369,363,3규모(30~99인),C31 기타 운송장비 제조업
166,9509,162,162,0,455,455,3규모(30~99인),C32 가구 제조업
167,7350,123,33,90,196,193,3규모(30~99인),C33 기타 제품 제조업
168,8632,1634,1628,6,90,106,3규모(30~99인),C34 산업용 기계 및 장비 수리업
169,18027,226,226,0,100,92,3규모(30~99인),D35 전기 가스 증기 및 공기 조절 공급업
170,2636,90,64,26,33,27,3규모(30~99인),E36 수도업
171,4624,47,29,18,19,29,3규모(30~99인),E37 하수 폐수 및 분뇨 처리업
172,24159,879,798,81,271,268,3규모(30~99인),E38 폐기물 수집 운반 처리 및 원료 재생업
173,172,0,0,0,0,0,3규모(30~99인),E39 환경 정화 및 복원업
174,48945,2315,2237,78,627,591,3규모(30~99인),F41 종합 건설업
175,124384,5060,4480,580,720,801,3규모(30~99인),F42 전문직별 공사업
176,8313,134,121,13,13,13,3규모(30~99인),G45 자동차 및 부품 판매업
177,133220,5152,4471,681,2178,2245,3규모(30~99인),G46 도매 및 상품 중개업
178,67049,2965,2913,52,626,629,3규모(30~99인),G47 소매업; 자동차 제외
179,91265,11350,5741,5609,11884,12128,3규모(30~99인),H49 육상 운송 및 파이프라인 운송업
180,5052,133,133,0,3,3,3규모(30~99인),H50 수상 운송업
181,369,0,0,0,0,0,3규모(30~99인),H51 항공 운송업
182,58253,2200,2131,69,526,688,3규모(30~99인),H52 창고 및 운송관련 서비스업
183,16273,693,659,34,269,313,3규모(30~99인),I55 숙박업
184,36329,3691,3464,227,1337,1461,3규모(30~99인),I56 음식점 및 주점업
185,57985,4421,3611,810,2135,2252,3규모(30~99인),J58 출판업
186,6456,564,564,0,48,48,3규모(30~99인),J59 영상ㆍ오디오 기록물 제작 및 배급업
187,6273,174,167,7,42,44,3규모(30~99인),J60 방송업
188,11529,228,105,123,126,126,3규모(30~99인),J61 우편 및 통신업
189,21225,1524,1209,315,539,525,3규모(30~99인),J62 컴퓨터 프로그래밍 시스템 통합 및 관리업
190,9002,451,352,99,152,152,3규모(30~99인),J63 정보서비스업
191,26475,594,559,35,262,265,3규모(30~99인),K64 금융업
192,28542,2218,2152,66,286,291,3규모(30~99인),K65 보험 및 연금업
193,15108,608,533,75,394,394,3규모(30~99인),K66 금융 및 보험관련 서비스업
194,33175,2110,2078,32,164,160,3규모(30~99인),L68 부동산업
195,28851,877,828,49,239,249,3규모(30~99인),M70 연구개발업
196,69056,3569,3434,135,687,702,3규모(30~99인),M71 전문 서비스업
197,60944,2322,2048,274,752,759,3규모(30~99인),M72 건축 기술 엔지니어링 및 기타 과학기술 서비스업
198,5346,208,208,0,21,19,3규모(30~99인),M73 기타 전문 과학 및 기술 서비스업
199,59045,1789,1663,126,336,365,3규모(30~99인),N74 사업시설 관리 및 조경 서비스업
200,105179,7598,7001,597,1550,2096,3규모(30~99인),N75 사업 지원 서비스업
201,4748,85,85,0,366,366,3규모(30~99인),N76 임대업; 부동산 제외
202,166753,6256,6051,205,905,1296,3규모(30~99인),P85 교육 서비스업
203,161381,11720,10339,1381,3476,3657,3규모(30~99인),Q86 보건업
204,163249,11966,10881,1085,3964,3914,3규모(30~99인),Q87 사회복지 서비스업
205,10390,497,489,8,131,166,3규모(30~99인),R90 창작 예술 및 여가관련 서비스업
206,41591,939,823,116,524,566,3규모(30~99인),R91 스포츠 및 오락관련 서비스업
207,16175,346,323,23,605,125,3규모(30~99인),S94 협회 및 단체
208,22088,208,168,40,29,29,3규모(30~99인),S95 개인 및 소비용품 수리업
209,17184,3584,3572,12,49,41,3규모(30~99인),S96 기타 개인 서비스업
210,475,0,0,0,0,0,4규모(100~299인),B05 석탄 원유 및 천연가스 광업
211,0,0,0,0,0,0,4규모(100~299인),B06 금속 광업
212,0,0,0,0,0,0,4규모(100~299인),B07 비금속광물 광업; 연료용 제외
213,0,0,0,0,0,0,4규모(100~299인),B08 광업 지원 서비스업
214,44517,1595,1238,357,694,727,4규모(100~299인),C10 식료품 제조업
215,3332,34,19,15,24,24,4규모(100~299인),C11 음료 제조업
216,195,0,0,0,0,0,4규모(100~299인),C12 담배 제조업
217,5360,54,51,3,41,37,4규모(100~299인),C13 섬유제품 제조업; 의복 제외
218,7996,385,385,0,342,342,4규모(100~299인),C14 의복 의복 액세서리 및 모피제품 제조업
219,928,36,36,0,0,0,4규모(100~299인),C15 가죽 가방 및 신발 제조업
220,1636,84,84,0,5,5,4규모(100~299인),C16 목재 및 나무제품 제조업; 가구 제외
221,10331,231,225,6,206,249,4규모(100~299인),C17 펄프 종이 및 종이제품 제조업
222,2050,39,39,0,0,0,4규모(100~299인),C18 인쇄 및 기록매체 복제업
223,296,0,0,0,0,0,4규모(100~299인),C19 코크스 연탄 및 석유정제품 제조업
224,31089,701,591,110,321,337,4규모(100~299인),C20 화학 물질 및 화학제품 제조업; 의약품 제외
225,17403,846,831,15,293,293,4규모(100~299인),C21 의료용 물질 및 의약품 제조업
226,39183,1257,1178,79,661,661,4규모(100~299인),C22 고무 및 플라스틱제품 제조업
227,9620,158,144,14,86,86,4규모(100~299인),C23 비금속 광물제품 제조업
228,22778,261,234,27,163,150,4규모(100~299인),C24 1차 금속 제조업
229,30903,1167,885,282,145,359,4규모(100~299인),C25 금속 가공제품 제조업; 기계 및 가구 제외
230,45777,2080,1803,277,726,783,4규모(100~299인),C26 전자 부품 컴퓨터 영상 음향 및 통신장비 제조업
231,19152,553,508,45,340,332,4규모(100~299인),C27 의료 정밀 광학 기기 및 시계 제조업
232,36749,1032,911,121,322,325,4규모(100~299인),C28 전기장비 제조업
233,58063,1377,1141,236,624,692,4규모(100~299인),C29 기타 기계 및 장비 제조업
234,69438,1938,1616,322,1015,1015,4규모(100~299인),C30 자동차 및 트레일러 제조업
235,21087,535,512,23,192,195,4규모(100~299인),C31 기타 운송장비 제조업
236,0,0,0,0,0,0,4규모(100~299인),C32 가구 제조업
237,1863,57,57,0,32,32,4규모(100~299인),C33 기타 제품 제조업
238,7240,263,215,48,109,109,4규모(100~299인),C34 산업용 기계 및 장비 수리업
239,14651,142,120,22,54,54,4규모(100~299인),D35 전기 가스 증기 및 공기 조절 공급업
240,2060,1427,908,519,519,519,4규모(100~299인),E36 수도업
241,1612,77,77,0,52,52,4규모(100~299인),E37 하수 폐수 및 분뇨 처리업
242,3291,201,201,0,59,59,4규모(100~299인),E38 폐기물 수집 운반 처리 및 원료 재생업
243,0,0,0,0,0,0,4규모(100~299인),E39 환경 정화 및 복원업
244,27123,872,841,31,396,396,4규모(100~299인),F41 종합 건설업
245,50903,2975,2941,34,45,45,4규모(100~299인),F42 전문직별 공사업
246,2739,4,4,0,0,0,4규모(100~299인),G45 자동차 및 부품 판매업
247,68097,1379,1237,142,969,978,4규모(100~299인),G46 도매 및 상품 중개업
248,65463,2105,2061,44,242,492,4규모(100~299인),G47 소매업; 자동차 제외
249,127264,12227,5776,6451,12068,12005,4규모(100~299인),H49 육상 운송 및 파이프라인 운송업
250,2437,43,43,0,0,0,4규모(100~299인),H50 수상 운송업
251,1461,1,1,0,0,0,4규모(100~299인),H51 항공 운송업
252,38468,1304,1165,139,243,437,4규모(100~299인),H52 창고 및 운송관련 서비스업
253,17042,595,444,151,190,346,4규모(100~299인),I55 숙박업
254,3901,160,134,26,54,54,4규모(100~299인),I56 음식점 및 주점업
255,50140,2375,1884,491,1573,1627,4규모(100~299인),J58 출판업
256,4004,326,326,0,129,129,4규모(100~299인),J59 영상ㆍ오디오 기록물 제작 및 배급업
257,6683,133,133,0,3,3,4규모(100~299인),J60 방송업
258,9704,29,16,13,0,0,4규모(100~299인),J61 우편 및 통신업
259,18261,829,815,14,392,406,4규모(100~299인),J62 컴퓨터 프로그래밍 시스템 통합 및 관리업
260,7734,209,151,58,127,127,4규모(100~299인),J63 정보서비스업
261,15252,593,559,34,34,34,4규모(100~299인),K64 금융업
262,11055,650,648,2,145,145,4규모(100~299인),K65 보험 및 연금업
263,10750,633,633,0,296,296,4규모(100~299인),K66 금융 및 보험관련 서비스업
264,21539,1240,1181,59,156,289,4규모(100~299인),L68 부동산업
265,34305,2059,1959,100,859,1131,4규모(100~299인),M70 연구개발업
266,52765,2723,2634,89,640,695,4규모(100~299인),M71 전문 서비스업
267,40689,1591,1503,88,498,711,4규모(100~299인),M72 건축 기술 엔지니어링 및 기타 과학기술 서비스업
268,2097,362,86,276,346,346,4규모(100~299인),M73 기타 전문 과학 및 기술 서비스업
269,57031,4403,4298,105,439,1300,4규모(100~299인),N74 사업시설 관리 및 조경 서비스업
270,151506,14460,13826,634,2702,2891,4규모(100~299인),N75 사업 지원 서비스업
271,2139,202,202,0,67,67,4규모(100~299인),N76 임대업; 부동산 제외
272,82442,4308,4205,103,553,1118,4규모(100~299인),P85 교육 서비스업
273,151408,10222,9428,794,2924,2973,4규모(100~299인),Q86 보건업
274,39053,1600,1497,103,400,604,4규모(100~299인),Q87 사회복지 서비스업
275,4802,101,98,3,19,27,4규모(100~299인),R90 창작 예술 및 여가관련 서비스업
276,15364,446,426,20,141,168,4규모(100~299인),R91 스포츠 및 오락관련 서비스업
277,10123,137,122,15,60,60,4규모(100~299인),S94 협회 및 단체
278,3315,155,155,0,0,8,4규모(100~299인),S95 개인 및 소비용품 수리업
279,986,85,82,3,5,7,4규모(100~299인),S96 기타 개인 서비스업
280,1308,12,12,0,0,0,5규모(300인이상),B05 석탄 원유 및 천연가스 광업
281,0,0,0,0,0,0,5규모(300인이상),B06 금속 광업
282,0,0,0,0,0,0,5규모(300인이상),B07 비금속광물 광업; 연료용 제외
283,498,0,0,0,0,0,5규모(300인이상),B08 광업 지원 서비스업
284,25363,1057,812,245,494,493,5규모(300인이상),C10 식료품 제조업
285,3476,22,22,0,33,33,5규모(300인이상),C11 음료 제조업
286,2047,30,30,0,0,0,5규모(300인이상),C12 담배 제조업
287,1000,40,40,0,6,6,5규모(300인이상),C13 섬유제품 제조업; 의복 제외
288,6796,112,108,4,52,52,5규모(300인이상),C14 의복 의복 액세서리 및 모피제품 제조업
289,0,0,0,0,0,0,5규모(300인이상),C15 가죽 가방 및 신발 제조업
290,495,10,1,9,10,10,5규모(300인이상),C16 목재 및 나무제품 제조업; 가구 제외
291,3155,16,15,1,8,8,5규모(300인이상),C17 펄프 종이 및 종이제품 제조업
292,0,0,0,0,0,0,5규모(300인이상),C18 인쇄 및 기록매체 복제업
293,8336,15,15,0,40,40,5규모(300인이상),C19 코크스 연탄 및 석유정제품 제조업
294,33334,348,338,10,183,210,5규모(300인이상),C20 화학 물질 및 화학제품 제조업; 의약품 제외
295,13052,492,476,16,146,615,5규모(300인이상),C21 의료용 물질 및 의약품 제조업
296,31426,308,303,5,23,32,5규모(300인이상),C22 고무 및 플라스틱제품 제조업
297,10861,71,71,0,47,47,5규모(300인이상),C23 비금속 광물제품 제조업
298,43118,253,239,14,95,104,5규모(300인이상),C24 1차 금속 제조업
299,21856,199,164,35,122,143,5규모(300인이상),C25 금속 가공제품 제조업; 기계 및 가구 제외
300,254321,6314,6212,102,841,895,5규모(300인이상),C26 전자 부품 컴퓨터 영상 음향 및 통신장비 제조업
301,17384,202,202,0,26,29,5규모(300인이상),C27 의료 정밀 광학 기기 및 시계 제조업
302,53029,906,891,15,242,290,5규모(300인이상),C28 전기장비 제조업
303,40497,515,458,57,149,169,5규모(300인이상),C29 기타 기계 및 장비 제조업
304,132864,1039,1007,32,302,302,5규모(300인이상),C30 자동차 및 트레일러 제조업
305,58617,342,331,11,18,18,5규모(300인이상),C31 기타 운송장비 제조업
306,0,0,0,0,0,0,5규모(300인이상),C32 가구 제조업
307,621,0,0,0,36,37,5규모(300인이상),C33 기타 제품 제조업
308,3648,104,104,0,27,27,5규모(300인이상),C34 산업용 기계 및 장비 수리업
309,25661,385,379,6,109,259,5규모(300인이상),D35 전기 가스 증기 및 공기 조절 공급업
310,2906,209,209,0,106,106,5규모(300인이상),E36 수도업
311,0,0,0,0,0,0,5규모(300인이상),E37 하수 폐수 및 분뇨 처리업
312,748,9,9,0,0,0,5규모(300인이상),E38 폐기물 수집 운반 처리 및 원료 재생업
313,0,0,0,0,0,0,5규모(300인이상),E39 환경 정화 및 복원업
314,71654,1768,1717,51,412,275,5규모(300인이상),F41 종합 건설업
315,8265,318,308,10,0,140,5규모(300인이상),F42 전문직별 공사업
316,1381,0,0,0,0,0,5규모(300인이상),G45 자동차 및 부품 판매업
317,57170,1337,1270,67,786,838,5규모(300인이상),G46 도매 및 상품 중개업
318,28840,1487,1309,178,2101,2099,5규모(300인이상),G47 소매업; 자동차 제외
319,40322,2991,2806,185,516,516,5규모(300인이상),H49 육상 운송 및 파이프라인 운송업
320,1616,28,28,0,0,0,5규모(300인이상),H50 수상 운송업
321,20604,33,33,0,0,0,5규모(300인이상),H51 항공 운송업
322,35806,2302,2072,230,495,658,5규모(300인이상),H52 창고 및 운송관련 서비스업
323,16199,505,503,2,74,74,5규모(300인이상),I55 숙박업
324,2522,16,16,0,31,31,5규모(300인이상),I56 음식점 및 주점업
325,53792,2593,2262,331,2299,2520,5규모(300인이상),J58 출판업
326,1102,1,1,0,7,7,5규모(300인이상),J59 영상ㆍ오디오 기록물 제작 및 배급업
327,14448,148,148,0,32,50,5규모(300인이상),J60 방송업
328,10561,171,171,0,53,53,5규모(300인이상),J61 우편 및 통신업
329,40383,891,849,42,445,536,5규모(300인이상),J62 컴퓨터 프로그래밍 시스템 통합 및 관리업
330,17282,704,653,51,820,835,5규모(300인이상),J63 정보서비스업
331,46007,1005,914,91,556,560,5규모(300인이상),K64 금융업
332,29777,5525,5524,1,204,263,5규모(300인이상),K65 보험 및 연금업
333,32426,1168,1158,10,190,526,5규모(300인이상),K66 금융 및 보험관련 서비스업
334,30807,2272,2251,21,202,537,5규모(300인이상),L68 부동산업
335,144009,2649,2391,258,767,1204,5규모(300인이상),M70 연구개발업
